what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ua.core,1.0.500.v20160204-0642,"org.eclipse.pde.ua.core",1474281871531
stopped,bundle,org.eclipse.pde.core,3.11.0.v20160510-1223,"org.eclipse.pde.core",1474281871531
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.300.v201304102131,"org.eclipse.wst.xsl.jaxp.launching",1474281871531
stopped,bundle,org.jboss.tools.jmx.jvmmonitor.tools,1.8.1.v20160607-2122,"org.jboss.tools.jmx.jvmmonitor.tools",1474281871531
stopped,bundle,org.jboss.tools.common.jdt.debug,3.8.1.v20160607-2053,"org.jboss.tools.common.jdt.debug",1474281871531
stopped,bundle,org.jboss.tools.runtime.ui,3.2.1.v20160901-2241,"org.jboss.tools.runtime.ui",1474281871531
stopped,bundle,org.jboss.tools.runtime.core,3.2.1.v20160812-0025,"org.jboss.tools.runtime.core",1474281871531
stopped,bundle,org.eclipse.jdt.launching,3.8.100.v20160505-0636,"org.eclipse.jdt.launching",1474281871531
stopped,bundle,org.eclipse.jdt.debug,3.10.0.v20160418-1524,"org.eclipse.jdt.debug",1474281871531
stopped,bundle,org.eclipse.jst.jsp.core,1.2.900.v201604120230,"org.eclipse.jst.jsp.core",1474281871531
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.100.v201308151836,"org.eclipse.jst.ws.jaxws.dom.ui",1474281871531
stopped,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.301.v201504272154,"org.eclipse.jst.ws.jaxws.utils",1474281871531
stopped,bundle,org.jboss.tools.jmx.jvmmonitor.core,1.8.1.v20160607-2122,"org.jboss.tools.jmx.jvmmonitor.core",1474281871531
stopped,bundle,org.eclipse.jdt.core,3.12.0.v20160516-2131,"org.eclipse.jdt.core",1474281871531
stopped,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.4.0.v201605131737,"org.eclipse.wst.jsdt.chromium.debug.core",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.debug.crossfire,1.0.500.v201505071819,"org.eclipse.wst.jsdt.debug.crossfire",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino,1.0.500.v201605251607,"org.eclipse.wst.jsdt.debug.rhino",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.debug.core,3.1.300.v201605251607,"org.eclipse.wst.jsdt.debug.core",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.js.grunt,1.0.0.v201605192332,"org.eclipse.wst.jsdt.js.grunt",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.js.gulp,1.0.0.v201605192332,"org.eclipse.wst.jsdt.js.gulp",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.js.common,1.0.0.v201605232036,"org.eclipse.wst.jsdt.js.common",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201602241911,"org.eclipse.wst.jsdt.manipulation",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.801.v201602241914,"org.eclipse.wst.jsdt.web.core",1474281871553
stopped,bundle,org.eclipse.wst.jsdt.core,2.0.0.v201605251700,"org.eclipse.wst.jsdt.core",1474281871553
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20110511-0800,"org.eclipse.team.cvs.ssh2",1474281871553
stopped,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1474281871560
stopped,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1474281871560
stopped,bundle,org.eclipse.team.core,3.8.0.v20160418-1534,"org.eclipse.team.core",1474281871560
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.1.0.201603142002,"org.eclipse.datatools.sqltools.plan",1474281871560
stopped,bundle,org.eclipse.datatools.sqltools.result.ui,1.2.0.201603142002,"org.eclipse.datatools.sqltools.result.ui",1474281871560
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.1.0.201603142002,"org.eclipse.datatools.sqltools.common.ui",1474281871560
stopped,bundle,org.eclipse.ui.externaltools,3.3.100.v20160518-1858,"org.eclipse.ui.externaltools",1474281871560
stopped,bundle,org.eclipse.wst.jsdt.js.cli,1.0.0.v201605192332,"org.eclipse.wst.jsdt.js.cli",1474281871561
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.300.v201606081655,"org.eclipse.wst.server.preview.adapter",1474281871561
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.400.v201309182039,"org.eclipse.wst.server.http.ui",1474281871561
stopped,bundle,org.eclipse.wst.server.ui,1.5.304.v201605121430,"org.eclipse.wst.server.ui",1474281871561
stopped,bundle,org.eclipse.debug.ui,3.11.200.v20160518-1858,"org.eclipse.debug.ui",1474281871563
stopped,bundle,org.eclipse.oomph.setup.ui.questionnaire,1.4.0.v20160530-1435,"org.eclipse.oomph.setup.ui.questionnaire",1474281871565
stopped,bundle,org.eclipse.oomph.setup.ui,1.4.0.v20160530-1200,"org.eclipse.oomph.setup.ui",1474281871565
stopped,bundle,org.eclipse.oomph.jreinfo.ui,1.4.0.v20160426-0423,"org.eclipse.oomph.jreinfo.ui",1474281871565
stopped,bundle,org.eclipse.oomph.p2.ui,1.4.0.v20160426-0423,"org.eclipse.oomph.p2.ui",1474281871565
stopped,bundle,org.eclipse.oomph.ui,1.4.0.v20160428-1352,"org.eclipse.oomph.ui",1474281871565
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.300.201403100950,"org.eclipse.rse.subsystems.files.dstore",1474281871565
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.400.201403100950,"org.eclipse.rse.subsystems.processes.dstore",1474281871565
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.400.201403100950,"org.eclipse.rse.subsystems.shells.dstore",1474281871566
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.301.201403100950,"org.eclipse.rse.connectorservice.dstore",1474281871566
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201403251512,"org.eclipse.rse.subsystems.files.local",1474281871566
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.400.201403100950,"org.eclipse.rse.subsystems.processes.local",1474281871566
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.400.201403100950,"org.eclipse.rse.subsystems.shells.local",1474281871566
stopped,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201403100950,"org.eclipse.rse.connectorservice.local",1474281871566
stopped,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.300.201403100950,"org.eclipse.rse.subsystems.files.ssh",1474281871566
stopped,bundle,org.eclipse.rse.subsystems.shells.ssh,2.1.400.201403100950,"org.eclipse.rse.subsystems.shells.ssh",1474281871566
stopped,bundle,org.eclipse.rse.subsystems.terminals.ssh,1.0.200.201411271155,"org.eclipse.rse.subsystems.terminals.ssh",1474281871566
stopped,bundle,org.eclipse.rse.connectorservice.ssh,2.1.300.201505220524,"org.eclipse.rse.connectorservice.ssh",1474281871566
stopped,bundle,org.eclipse.rse.connectorservice.telnet,1.2.300.201505220524,"org.eclipse.rse.connectorservice.telnet",1474281871567
stopped,bundle,org.eclipse.rse.dstore.security,3.0.400.201403100950,"org.eclipse.rse.dstore.security",1474281871567
stopped,bundle,org.eclipse.rse.efs,2.1.401.201507172212,"org.eclipse.rse.efs",1474281871567
stopped,bundle,org.eclipse.rse.subsystems.files.ftp,2.2.100.201601281414,"org.eclipse.rse.subsystems.files.ftp",1474281871567
stopped,bundle,org.eclipse.rse.subsystems.shells.core,3.1.300.201403271554,"org.eclipse.rse.subsystems.shells.core",1474281871567
stopped,bundle,org.eclipse.rse.subsystems.files.core,3.3.1.201403100950,"org.eclipse.rse.subsystems.files.core",1474281871567
stopped,bundle,org.eclipse.rse.subsystems.processes.shell.linux,1.1.400.201403100950,"org.eclipse.rse.subsystems.processes.shell.linux",1474281871568
stopped,bundle,org.eclipse.rse.subsystems.processes.core,3.1.300.201403100950,"org.eclipse.rse.subsystems.processes.core",1474281871568
stopped,bundle,org.eclipse.rse.terminals.ui,1.3.0.201504210807,"org.eclipse.rse.terminals.ui",1474281871568
stopped,bundle,org.eclipse.rse.ui,3.3.200.201601281257,"org.eclipse.rse.ui",1474281871575
stopped,bundle,org.eclipse.ui.console,3.6.200.v20160518-1858,"org.eclipse.ui.console",1474281871575
stopped,bundle,com.adobe.flexbuilder.services.CFService,4.7.0.349722,"com.adobe.flexbuilder.services.CFService",1474281871575
stopped,bundle,com.adobe.flexbuilder.services.BlazeDSService,4.7.0.349722,"com.adobe.flexbuilder.services.BlazeDSService",1474281871575
stopped,bundle,com.adobe.flexbuilder.services.LCDSService,4.7.0.349722,"com.adobe.flexbuilder.services.LCDSService",1474281871575
stopped,bundle,com.adobe.flexbuilder.services.WEBService,4.7.0.349722,"com.adobe.flexbuilder.services.WEBService",1474281871575
stopped,bundle,com.adobe.flexbuilder.services.J2EEService,4.7.0.349722,"com.adobe.flexbuilder.services.J2EEService",1474281871575
stopped,bundle,com.adobe.rds.dataview,4.5.304901.v20110217,"com.adobe.rds.dataview",1474281871575
stopped,bundle,com.adobe.rds.core,4.5.304901.v20110217,"com.adobe.rds.core",1474281871575
stopped,bundle,org.eclipse.mylyn.commons.repositories.ui,1.12.0.v20160421-1819,"org.eclipse.mylyn.commons.repositories.ui",1474281871576
stopped,bundle,org.eclipse.mylyn.context.ui,3.20.0.v20160421-1902,"org.eclipse.mylyn.context.ui",1474281871576
stopped,bundle,org.eclipse.mylyn.commons.notifications.ui,1.12.2.v20160630-1640,"org.eclipse.mylyn.commons.notifications.ui",1474281871576
stopped,bundle,org.eclipse.mylyn.commons.workbench,3.20.2.v20160630-1640,"org.eclipse.mylyn.commons.workbench",1474281871578
stopped,bundle,org.eclipse.ui.editors,3.10.0.v20160505-0931,"org.eclipse.ui.editors",1474281871578
stopped,bundle,org.eclipse.wst.common.snippets,1.2.300.v201602270217,"org.eclipse.wst.common.snippets",1474281871578
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.10.0.v20160530-2011,"org.eclipse.ui.workbench.texteditor",1474281871578
stopped,bundle,org.eclipse.compare.core,3.6.0.v20160418-1534,"org.eclipse.compare.core",1474281871579
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.7.0.v20160526-0356,"org.eclipse.emf.mapping.ecore2ecore.editor",1474281871579
stopped,bundle,org.eclipse.emf.ecore.editor,2.12.0.v20160526-0356,"org.eclipse.emf.ecore.editor",1474281871579
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.8.0.v20160526-0356,"org.eclipse.emf.mapping.ecore2xml.ui",1474281871579
stopped,bundle,org.eclipse.emf.mapping.ui,2.7.0.v20160526-0356,"org.eclipse.emf.mapping.ui",1474281871579
stopped,bundle,org.eclipse.emf.edit.ui,2.12.0.v20160526-0356,"org.eclipse.emf.edit.ui",1474281871579
stopped,bundle,org.eclipse.gef,3.11.0.201606061308,"org.eclipse.gef",1474281871579
stopped,bundle,org.eclipse.cft.server.verify.ui,1.0.1.v201606021906,"org.eclipse.cft.server.verify.ui",1474281871580
